------------Training error values------------
0.884607 0 0.391265
-0.075006 0 0.00281295
--------
-0.986617 0 0.486706
0.421363 0 0.0887733
-0.278529 0 0.0387892
0.955967 1 0.000969439
-0.513141 0 0.131657
0.565518 0 0.159906
-0.876657 0 0.384264
-0.615221 0 0.189248
0.470484 0 0.110678
-0.993078 0 0.493102
--------
-0.999883 0 0.499883
-0.282164 0 0.0398083
-0.895842 0 0.401266
-0.41702 0 0.0869527
0.974219 0 0.474551
0.183989 0 0.016926
0.291263 1 0.251154
-0.768184 0 0.295053
0.966677 0 0.467232
-0.976104 0 0.47639
--------
0.409408 0 0.0838075
-0.236138 1 0.764019
-0.958906 0 0.45975
0.956915 0 0.457843
-0.964771 0 0.465392
0.419543 0 0.088008
-0.989895 0 0.489946
-0.957831 0 0.45872
-0.866802 0 0.375673
-0.999883 0 0.499883
--------
-0.996495 0 0.496501
0.937182 0 0.439155
0.654709 0 0.214322
0.980117 0 0.480315
0.800584 0 0.320468
0.994898 0 0.494911
-0.972653 0 0.473027
0.16488 1 0.348713
0.880259 0 0.387428
-0.964226 0 0.464866
--------
-0.999658 0 0.499658
-0.532492 0 0.141774
-0.945695 1 1.89286
-0.777391 0 0.302168
0.995078 0 0.49509
0.197989 0 0.0195997
-0.117355 0 0.00688614
-0.755571 0 0.285444
0.650987 0 0.211892
-0.968778 0 0.469265
--------
-0.990265 0 0.490313
0.975976 0 0.476264
0.996926 0 0.496931
0.422797 0 0.0893786
-0.909512 0 0.413606
0.997986 0 0.497988
-0.294284 0 0.0433016
0.157557 0 0.0124121
0.821387 1 0.0159512
-0.504675 0 0.127349
--------
-0.842657 0 0.355035
0.412648 0 0.0851392
0.0273826 0 0.000374903
0.291724 0 0.0425514
0.842297 0 0.354732
0.840636 0 0.353335
-0.868935 1 1.74646
-0.277306 0 0.0384493
0.775013 0 0.300323
-0.000780789 0 3.04816e-007
--------
-0.992292 0 0.492322
0.982156 0 0.482315
0.978861 0 0.479084
0.71979 0 0.259049
-0.0976857 0 0.00477125
0.998668 0 0.498669
0.149736 0 0.0112104
-0.532415 0 0.141733
0.795759 0 0.316616
0.103439 1 0.401911
--------
-0.99842 0 0.498421
0.972152 0 0.47254
0.973108 0 0.47347
-0.216234 0 0.0233785
0.783081 1 0.023527
0.951546 0 0.45272
0.932057 0 0.434365
0.675017 0 0.227824
0.97676 0 0.47703
0.879579 0 0.38683
--------
-0.785395 1 1.59382
0.308185 0 0.047489
0.921374 0 0.424465
-0.975518 0 0.475818
-0.783446 0 0.306894
0.997597 0 0.4976
0.154665 0 0.0119606
-0.978651 0 0.478878
0.988203 0 0.488272
-0.408513 0 0.0834415
--------
-0.993786 0 0.493805
0.914707 0 0.418345
0.268772 0 0.0361193
0.985815 0 0.485915
0.965285 0 0.465887
0.982496 0 0.482649
-0.172381 0 0.0148576
-0.748029 0 0.279774
0.605595 0 0.183372
-0.404948 1 0.98694
--------
-0.528046 0 0.139416
0.349057 1 0.211863
0.497674 0 0.12384
0.176761 0 0.0156222
0.0548225 0 0.00150275
0.998969 0 0.49897
-0.995706 0 0.495715
-0.298168 0 0.044452
0.83782 0 0.350971
-0.768872 0 0.295582
--------
-0.999115 0 0.499115
-0.0766767 1 0.579616
-0.84623 0 0.358052
0.505311 0 0.127669
0.993856 0 0.493874
0.517616 0 0.133963
0.589482 0 0.173745
0.114305 0 0.00653282
0.831686 0 0.345851
0.740951 0 0.274504
--------
0.99424 0 0.494256
-0.961173 0 0.461927
-0.617033 1 1.3074
0.0702271 0 0.00246592
-0.721127 0 0.260012
0.927945 0 0.430541
-0.986817 0 0.486904
-0.920816 0 0.423951
-0.976519 0 0.476794
-0.746023 0 0.278275
--------
0.901267 0 0.406141
-0.968941 0 0.469423
-0.995206 0 0.495217
0.741997 0 0.27528
0.0406053 1 0.460219
0.992917 0 0.492943
-0.993459 0 0.49348
0.618561 0 0.191309
-0.157948 0 0.0124738
0.0105989 0 5.61685e-005
--------
-0.071656 0 0.00256729
0.751542 0 0.282408
0.917189 0 0.420618
0.49074 1 0.129673
-0.660023 0 0.217815
0.993192 0 0.493215
-0.940899 0 0.442645
-0.906861 0 0.411198
0.102063 0 0.00520846
-0.788299 0 0.310707
--------
0.996507 0 0.496513
0.739738 0 0.273606
-0.981046 1 1.96227
0.997702 0 0.497705
-0.535656 0 0.143464
0.994589 0 0.494604
-0.973302 0 0.473658
-0.981459 0 0.481631
-0.29392 0 0.0431945
-0.932543 0 0.434819
--------
-0.999316 0 0.499316
0.475144 0 0.112881
0.784469 0 0.307696
-0.488111 0 0.119126
0.379194 0 0.0718941
0.988259 0 0.488328
0.275566 0 0.0379684
-0.975343 1 1.95099
0.939952 0 0.441755
0.273794 0 0.0374817
--------
-0.999621 0 0.499622
0.40009 0 0.0800359
0.891776 0 0.397632
-0.75202 1 1.53479
-0.863757 0 0.373038
0.976773 0 0.477043
0.691867 0 0.23934
-0.252531 0 0.031886
0.938056 0 0.439975
-0.941699 0 0.443398
--------
0.986945 0 0.48703
-0.245745 0 0.0301954
-0.559373 0 0.156449
0.981409 0 0.481581
-0.994321 0 0.494337
0.954949 0 0.455963
-0.994864 0 0.494877
-0.70866 0 0.251099
0.101643 1 0.403523
-0.970888 0 0.471312
--------
-0.999858 0 0.499858
-0.512738 0 0.13145
-0.905125 0 0.409625
0.341798 0 0.0584128
0.965545 0 0.466139
0.07072 0 0.00250066
0.305212 1 0.241365
-0.0868359 0 0.00377024
0.951383 0 0.452564
-0.869559 0 0.378066
--------
-0.800476 0 0.320381
0.905047 0 0.409555
0.596902 0 0.178146
0.978437 0 0.478669
0.392825 0 0.0771556
0.996792 0 0.496797
-0.899947 0 0.404952
-0.942207 0 0.443877
0.688643 0 0.237115
-0.769129 1 1.56491
--------
-0.897606 1 1.80045
-0.00480993 0 1.15677e-005
0.841982 0 0.354467
-0.639136 0 0.204248
-0.806617 0 0.325316
0.939099 0 0.440954
0.703336 0 0.247341
-0.594447 0 0.176683
0.834117 0 0.347875
-0.399795 0 0.0799182
--------
-0.999302 0 0.499302
0.50452 0 0.12727
0.710552 0 0.252442
-0.381878 0 0.0729153
0.415063 0 0.0861386
0.97607 1 0.00028632
0.42348 0 0.0896676
-0.951862 0 0.453021
0.767979 0 0.294896
-0.728623 0 0.265446
--------
-0.998486 0 0.498487
0.219385 0 0.024065
0.032005 0 0.00051216
0.25917 0 0.0335845
0.678964 0 0.230496
0.856683 0 0.366953
0.127288 1 0.380813
-0.962839 0 0.46353
0.974734 0 0.475054
-0.863097 0 0.372468
--------
-0.976939 1 1.95414
0.400235 0 0.0800939
0.85699 0 0.367216
-0.649636 0 0.211014
-0.925893 0 0.428639
0.97822 0 0.478457
-0.629148 0 0.197914
-0.860919 0 0.370591
0.819986 0 0.336188
-0.98888 0 0.488941
--------
-0.97349 0 0.473842
0.861914 0 0.371448
0.675198 0 0.227946
-0.755952 0 0.285732
0.971091 0 0.471509
-0.272084 0 0.037015
0.989402 0 0.489458
-0.48058 1 1.09606
0.0581 0 0.0016878
0.954671 0 0.455699
--------
-0.999682 0 0.499682
-0.699139 0 0.244397
-0.952895 0 0.454004
0.620124 0 0.192277
0.983197 0 0.483338
-0.187277 0 0.0175364
0.207963 1 0.313661
-0.0350493 0 0.000614228
0.921806 0 0.424863
-0.768619 0 0.295388
--------
0.957785 0 0.458676
0.339234 1 0.218306
-0.0758651 0 0.00287775
0.937336 0 0.4393
-0.998356 0 0.498358
0.857028 0 0.367249
-0.940162 0 0.441953
-0.447459 0 0.10011
0.723597 0 0.261796
-0.97425 0 0.474581
--------
-0.978428 0 0.478661
-0.0495475 0 0.00122748
0.670368 0 0.224697
-0.876851 0 0.384434
0.828572 0 0.343266
0.983428 0 0.483565
-0.177973 0 0.0158372
-0.904661 0 0.409206
0.810588 1 0.0179385
0.941367 0 0.443086
--------
0.995293 0 0.495304
0.514294 0 0.132249
0.374303 0 0.0700513
0.84069 0 0.353379
-0.999252 0 0.499252
0.799857 0 0.319886
-0.974432 0 0.474759
0.125391 1 0.38247
-0.425132 0 0.0903687
-0.983925 0 0.484055
--------
-0.220802 0 0.0243767
0.860552 0 0.370275
0.573071 0 0.164205
0.940387 0 0.442164
0.0478641 0 0.00114549
0.998225 0 0.498226
-0.987304 0 0.487385
-0.948733 0 0.450047
0.514979 0 0.132602
-0.805506 1 1.62993
--------
-0.933189 0 0.43542
0.925041 0 0.42785
0.990761 0 0.490804
-0.850538 1 1.71225
-0.958643 0 0.459498
0.0845773 0 0.00357666
0.967115 0 0.467656
-0.641982 0 0.20607
0.0987766 0 0.0048784
-0.85293 0 0.363745
--------
0.998954 0 0.498955
0.894036 0 0.39965
-0.0348204 0 0.00060623
0.945605 0 0.447084
-0.98272 0 0.48287
0.940196 0 0.441984
0.213112 0 0.0227083
-0.978059 0 0.4783
-0.398221 0 0.0792902
0.439862 1 0.156878
--------
-0.995458 0 0.495468
0.336345 0 0.056564
-0.497906 0 0.123955
0.248805 0 0.0309519
0.995949 0 0.495957
0.919106 0 0.422378
0.111283 0 0.006192
0.785038 0 0.308142
0.552488 1 0.100134
0.939959 0 0.441761
--------
-0.99553 0 0.49554
-0.345166 0 0.0595697
-0.331532 0 0.0549568
0.732046 0 0.267946
0.713617 0 0.254625
0.91553 1 0.00356756
-0.912951 0 0.41674
-0.97725 0 0.477509
0.43258 0 0.0935625
-0.997868 0 0.49787
--------
-0.999851 0 0.499851
0.772448 0 0.298338
0.539105 0 0.145317
-0.609366 0 0.185663
0.361003 0 0.0651617
0.844004 0 0.356172
0.597387 0 0.178436
-0.567543 0 0.161052
0.957796 0 0.458687
-0.893428 1 1.79254
--------
0.0789022 0 0.00311278
0.599319 0 0.179592
0.940536 0 0.442304
-0.0333309 1 0.533886
-0.783684 0 0.307081
0.997131 0 0.497135
-0.885401 0 0.391968
-0.885655 0 0.392192
0.198143 0 0.0196303
-0.731459 0 0.267516
--------
-0.740078 0 0.273858
0.615812 0 0.189612
-0.162609 0 0.0132209
-0.498335 1 1.1225
-0.798373 0 0.3187
-0.953429 0 0.454514
-0.378919 0 0.0717898
-0.343212 0 0.0588971
-0.910824 0 0.4148
-0.985082 0 0.485193
--------
-0.275429 1 0.813359
-0.500744 0 0.125372
0.712634 0 0.253924
-0.969377 0 0.469846
-0.372618 0 0.0694221
0.992203 0 0.492233
-0.592487 0 0.17552
-0.966099 0 0.466673
0.985333 0 0.485441
-0.21532 0 0.0231813
--------
0.213758 0 0.0228463
0.772377 0 0.298283
0.99551 0 0.49552
-0.955456 0 0.456448
-0.967469 0 0.467999
0.854759 0 0.365307
0.980456 0 0.480647
-0.480858 1 1.09647
0.938797 0 0.44067
0.485895 0 0.118047
--------
-0.990675 0 0.490719
0.268117 0 0.0359433
0.993821 0 0.49384
-0.826358 0 0.341434
-0.971364 1 1.94314
0.950485 0 0.451711
-0.91155 0 0.415461
-0.981691 0 0.481858
0.986829 0 0.486916
-0.977449 0 0.477704
--------
0.993328 0 0.49335
0.972662 0 0.473036
-0.20163 0 0.0203274
0.9317 0 0.434033
-0.975658 0 0.475955
0.947304 0 0.448693
-0.428507 0 0.0918093
-0.880156 0 0.387337
-0.219493 0 0.0240885
-0.948352 1 1.89804
--------
-0.992365 0 0.492394
0.843728 0 0.355938
-0.636552 0 0.202599
0.991767 0 0.491801
0.732593 0 0.268346
0.990645 0 0.490689
-0.957452 0 0.458357
-0.215018 0 0.0231164
0.846551 1 0.0117733
-0.980312 0 0.480506
--------
-0.93843 1 1.87876
0.0765126 0 0.00292709
-0.834659 0 0.348328
0.847316 0 0.358972
0.999935 0 0.499935
0.66011 0 0.217873
-0.63067 0 0.198872
0.0461288 0 0.00106393
0.549619 0 0.151041
0.935955 0 0.438005
--------
0.975857 0 0.476148
0.960394 0 0.461178
-0.803139 0 0.322516
0.999377 0 0.499377
-0.778846 0 0.303301
0.9213 0 0.424397
-0.934502 0 0.436647
-0.990643 0 0.490686
-0.872151 0 0.380324
-0.937985 1 1.87789
--------
-0.987969 0 0.488042
0.872034 0 0.380222
0.370574 0 0.0686627
-0.843256 0 0.355541
0.883941 1 0.0067349
-0.28748 0 0.0413223
0.93152 0 0.433864
0.701459 0 0.246022
-0.45195 0 0.10213
-0.157468 0 0.0123981
--------
0.988729 0 0.488792
-0.709519 1 1.46123
-0.210611 0 0.0221784
0.761162 0 0.289684
-0.977701 0 0.47795
0.958105 0 0.458982
-0.991941 0 0.491974
-0.76129 0 0.289781
-0.647115 0 0.209379
-0.970465 0 0.470901
--------
-0.994436 0 0.494451
-0.878958 0 0.386284
-0.538612 0 0.145052
-0.790379 0 0.31235
0.95349 1 0.00108158
0.982434 0 0.482588
0.89157 0 0.397449
0.969109 0 0.469586
0.996892 0 0.496896
0.988088 0 0.488159
--------
-0.994464 0 0.494479
0.936433 0 0.438454
0.812928 0 0.330426
0.599533 0 0.17972
0.00706846 1 0.492957
0.998939 0 0.498939
-0.901248 0 0.406124
-0.897418 0 0.402679
0.993675 0 0.493695
-0.890632 0 0.396613
--------
-0.985985 0 0.486083
0.845697 0 0.357601
0.769052 0 0.29572
-0.158019 0 0.012485
0.760902 0 0.289486
0.981682 0 0.481849
-0.42419 1 1.01416
-0.661976 0 0.219106
0.704249 0 0.247984
0.562501 0 0.158204
--------
-0.575956 1 1.24182
0.836819 0 0.350133
0.984272 0 0.484396
-0.860232 0 0.369999
-0.969427 0 0.469894
0.999156 0 0.499157
-0.324185 0 0.0525478
-0.0623688 0 0.00194493
0.732716 0 0.268437
-0.789633 0 0.31176
--------
0.36281 0 0.0658154
0.0866753 0 0.00375631
0.628081 0 0.197243
0.171724 0 0.0147446
-0.894821 1 1.79517
0.992045 0 0.492077
-0.586967 0 0.172265
-0.934463 0 0.436611
0.971387 0 0.471796
-0.471763 0 0.11128
--------
-0.999997 0 0.499997
0.872854 0 0.380937
0.595991 0 0.177603
-0.503598 0 0.126806
0.779557 0 0.303854
0.659385 1 0.0580093
0.972363 0 0.472745
0.66441 0 0.22072
0.969249 0 0.469722
-0.901196 0 0.406077
--------
-0.999722 0 0.499722
0.170478 0 0.0145314
-0.182745 0 0.0166979
0.462688 0 0.10704
-0.187822 0 0.0176386
0.704611 0 0.248238
0.592843 1 0.0828883
-0.92623 0 0.428951
0.978508 0 0.478739
-0.944478 0 0.446019
--------
-0.487471 0 0.118814
0.686177 1 0.0492423
0.985989 0 0.486087
0.0990937 0 0.00490978
-0.672917 0 0.226409
0.973398 0 0.473752
-0.830135 0 0.344562
-0.943587 0 0.445178
-0.869474 0 0.377993
-0.779956 0 0.304165
--------
0.998884 1 6.22903e-007
0.99053 0 0.490574
0.561584 0 0.157688
0.186589 0 0.0174077
-0.998812 0 0.498813
0.899335 0 0.404401
0.0581182 0 0.00168886
-0.286145 0 0.0409394
-0.894056 0 0.399668
-0.871517 0 0.379771
--------
-0.996764 1 1.99353
-0.496797 0 0.123404
0.385525 0 0.0743149
-0.99338 0 0.493402
-0.187777 0 0.01763
0.322049 0 0.0518577
0.967341 0 0.467874
-0.626948 0 0.196532
0.976471 0 0.476748
-0.73329 0 0.268857
--------
-0.996948 0 0.496953
0.41518 1 0.171007
0.280283 0 0.0392793
0.248941 0 0.0309858
0.55353 0 0.153198
0.953406 0 0.454491
-0.342578 0 0.0586799
-0.971915 0 0.472309
0.971976 0 0.472369
-0.895019 0 0.400529
--------
-0.998972 0 0.498973
0.785195 0 0.308265
0.963334 0 0.464006
-0.877724 0 0.385199
-0.925326 0 0.428114
0.961754 0 0.462485
0.258566 0 0.0334281
-0.876886 1 1.76135
0.759756 0 0.288615
-0.971107 0 0.471525
--------
0.80295 0 0.322365
0.810507 1 0.0179538
-0.17301 0 0.0149662
0.992667 0 0.492693
-0.640677 0 0.205233
0.187639 0 0.0176041
-0.976698 0 0.476969
-0.996326 0 0.496332
-0.855719 0 0.366127
-0.983741 0 0.483873
--------
-0.999946 0 0.499946
0.519909 0 0.135153
-0.00656545 0 2.15526e-005
-0.0631693 0 0.00199518
0.629277 0 0.197995
0.911943 0 0.41582
0.149338 1 0.361813
-0.752799 0 0.283353
0.971377 0 0.471787
-0.975417 0 0.475719
--------
-0.999876 0 0.499876
0.612759 0 0.187737
0.124363 0 0.00773306
-0.243867 1 0.773603
0.756749 0 0.286334
0.226095 0 0.0255595
0.903596 0 0.408242
-0.424713 0 0.0901907
0.854541 0 0.36512
-0.545965 0 0.149039
--------
-0.996643 1 1.99329
-0.151501 0 0.0114763
0.873228 0 0.381264
-0.964428 0 0.46506
-0.898462 0 0.403617
0.957203 0 0.458119
0.58474 0 0.170961
-0.955319 0 0.456317
0.967603 0 0.468128
-0.915567 0 0.419131
--------
0.999903 0 0.499903
0.841287 0 0.353882
-0.806966 1 1.63256
-0.348275 0 0.0606478
-0.67113 0 0.225208
0.864074 0 0.373312
-0.789361 0 0.311545
-0.649562 0 0.210965
-0.973916 0 0.474257
-0.392762 0 0.077131
--------
-0.930991 0 0.433372
0.42241 1 0.166805
0.821388 0 0.33734
0.162578 0 0.0132159
-0.32795 0 0.0537756
0.997267 0 0.497271
-0.0874048 0 0.0038198
-0.533788 0 0.142465
0.883043 0 0.389882
0.415306 0 0.0862394
--------
0.134602 0 0.00905884
0.911002 1 0.00396032
-0.516864 0 0.133574
0.986017 0 0.486115
0.0882669 0 0.00389552
0.996464 0 0.49647
-0.994824 0 0.494837
-0.921504 0 0.424585
0.0435802 0 0.000949619
-0.74919 0 0.280643
--------
-0.873473 0 0.381477
0.939978 0 0.44178
0.849471 0 0.3608
0.769584 0 0.29613
-0.266306 0 0.0354596
0.999401 0 0.499401
-0.942993 0 0.444618
-0.597768 1 1.27643
0.871145 0 0.379447
-0.779973 0 0.304179
--------
-0.999021 0 0.499022
0.881555 0 0.38857
-0.814239 0 0.331492
0.897991 0 0.403194
0.538702 0 0.1451
0.367878 0 0.067667
0.0118625 0 7.03598e-005
0.719204 0 0.258627
0.821217 0 0.337199
-0.995117 1 1.99025
--------
-0.749629 1 1.5306
0.193034 0 0.018631
0.959413 0 0.460237
-0.970002 0 0.470452
-0.996478 0 0.496484
0.987015 0 0.487099
-0.453451 0 0.102809
-0.917228 0 0.420654
0.990359 0 0.490405
-0.97824 0 0.478477
--------
-0.999995 0 0.499995
0.837032 0 0.350312
-0.128471 1 0.636723
-0.633211 0 0.200478
0.788061 0 0.31052
0.760576 0 0.289238
0.940057 0 0.441854
0.297565 0 0.0442725
0.971823 0 0.47222
-0.941947 0 0.443632
--------
-0.999592 0 0.499592
0.0980704 0 0.0048089
-0.0709106 0 0.00251416
0.224399 0 0.0251774
0.420174 0 0.0882729
0.885762 0 0.392287
-0.31773 1 0.868206
-0.953138 0 0.454236
0.967587 0 0.468112
-0.983628 0 0.483762
--------
0.715936 0 0.256282
0.96768 0 0.468202
0.63924 0 0.204314
0.52726 0 0.139002
-0.9107 0 0.414688
0.923907 0 0.426802
0.930288 0 0.432718
0.934792 1 0.00212606
0.971548 0 0.471953
0.953461 0 0.454544
--------
0.388939 0 0.0756368
-0.999373 0 0.499373
-0.681702 0 0.232359
-0.0634938 0 0.00201573
0.0314909 0 0.000495839
0.889957 0 0.396012
-0.993512 0 0.493533
-0.522959 0 0.136743
-0.400586 1 0.980821
-0.575773 0 0.165757
--------
-0.189598 0 0.0179737
0.975162 0 0.475471
-0.0152164 0 0.00011577
0.988727 1 6.35379e-005
0.297305 0 0.0441952
0.963593 0 0.464256
-0.973621 0 0.473969
-0.993139 0 0.493162
-0.360995 0 0.0651586
-0.993255 0 0.493277
--------
-0.879839 0 0.387059
0.932388 0 0.434673
0.0444847 0 0.000989446
0.992936 0 0.49296
0.593346 0 0.17603
0.99736 0 0.497364
-0.966864 0 0.467413
-0.870372 0 0.378774
0.94635 0 0.447789
-0.877561 1 1.76262
--------
-0.678735 1 1.40908
-0.618104 0 0.191026
-0.944905 0 0.446423
-0.694751 0 0.24134
0.95825 0 0.459121
0.655345 0 0.214739
0.294966 0 0.0435025
-0.312981 0 0.0489787
0.969186 0 0.46966
0.210298 0 0.0221126
--------
0.846847 0 0.358575
0.98164 0 0.481809
-0.922314 0 0.425332
0.999562 0 0.499562
0.567792 1 0.0934018
0.995885 0 0.495894
-0.98962 0 0.489674
-0.991586 0 0.491621
-0.171496 0 0.0147055
-0.96133 0 0.462077
--------
-0.99999 0 0.49999
0.13695 0 0.00937771
-0.72042 0 0.259502
-0.246843 0 0.0304656
0.977309 0 0.477567
0.152708 0 0.0116599
0.982513 1 0.000152902
-0.49489 0 0.122458
0.99288 0 0.492906
0.305225 0 0.0465811
--------
-0.0171713 0 0.000147427
0.907002 0 0.411326
0.882937 0 0.389789
-0.089249 0 0.00398269
-0.983368 0 0.483506
0.99822 0 0.498222
-0.853415 0 0.364158
-0.144467 1 0.654903
0.554122 0 0.153525
-0.971557 0 0.471962
--------
-0.94484 0 0.446361
0.5164 0 0.133335
-0.958659 0 0.459514
0.995831 0 0.495839
0.998086 1 1.8314e-006
0.825784 0 0.34096
-0.93682 0 0.438816
-0.359439 0 0.0645983
0.796071 0 0.316864
0.486931 0 0.118551
--------
-0.997304 0 0.497308
-0.352478 0 0.0621204
-0.515612 0 0.132928
0.382828 0 0.0732786
0.800785 0 0.320628
0.807822 0 0.326288
-0.404444 1 0.986232
-0.994123 0 0.494141
0.929756 0 0.432224
-0.976732 0 0.477003
--------
-0.794728 0 0.315797
0.945287 0 0.446783
-0.26393 0 0.0348295
0.993722 0 0.493742
0.52104 0 0.135741
0.999058 0 0.499058
-0.987055 0 0.487139
-0.726958 0 0.264234
0.967744 1 0.000520238
-0.875147 0 0.382941
--------
-0.76494 1 1.55751
0.607996 0 0.184829
0.959031 0 0.45987
-0.932631 0 0.4349
-0.991894 0 0.491927
0.997195 0 0.497199
-0.732923 0 0.268588
-0.813598 0 0.330971
0.944809 0 0.446332
-0.989069 0 0.489128
--------
0.271948 0 0.0369779
0.956498 0 0.457444
0.913567 0 0.417303
0.955235 0 0.456237
-0.771548 0 0.297643
0.990977 0 0.491018
-0.957766 0 0.458658
-0.968609 1 1.93771
-0.652093 0 0.212613
-0.938348 0 0.440248
--------
-0.773081 0 0.298827
0.169757 0 0.0144088
0.775858 0 0.300978
-0.387731 0 0.0751678
0.103606 0 0.00536708
0.999274 0 0.499274
-0.963128 0 0.463807
-0.161677 0 0.0130697
0.709846 1 0.0420946
-0.104298 0 0.00543899
--------
-0.99946 0 0.49946
0.713571 0 0.254592
0.856239 0 0.366573
-0.996863 1 1.99373
0.630113 0 0.198521
-0.833107 0 0.347034
0.983475 0 0.483611
0.340134 0 0.0578455
-0.655837 0 0.215061
-0.643508 0 0.207052
--------
-0.732361 0 0.268177
-0.839052 1 1.69106
0.356469 0 0.063535
-0.512243 0 0.131197
-0.502554 0 0.12628
0.996207 0 0.496214
-0.992604 0 0.492631
0.41145 0 0.0846454
0.864752 0 0.373898
-0.950807 0 0.452017
--------
-0.998854 0 0.498855
-0.487546 0 0.118851
-0.404265 0 0.0817149
-0.62806 0 0.19723
0.998775 0 0.498776
0.919112 1 0.00327144
0.754616 0 0.284723
0.35532 0 0.0631261
0.996776 0 0.496781
0.930703 0 0.433104
--------
-0.99975 0 0.49975
0.614582 0 0.188855
0.90168 0 0.406513
-0.76507 0 0.292666
-0.846673 0 0.358428
0.931597 0 0.433937
0.479327 0 0.114877
-0.941311 1 1.88434
0.895686 0 0.401127
-0.969639 0 0.4701
--------
0.304858 0 0.0464691
0.977805 1 0.000246315
-0.711591 0 0.253181
0.998627 0 0.498628
0.40375 0 0.081507
0.890981 0 0.396923
-0.98316 0 0.483302
-0.99546 0 0.49547
-0.690579 0 0.23845
-0.993702 0 0.493722
--------
-0.702233 0 0.246565
0.957591 0 0.45849
0.885446 0 0.392007
0.933771 0 0.435964
-0.0301722 0 0.000455182
0.998257 0 0.498259
-0.730301 0 0.26667
-0.952478 1 1.90609
0.195023 0 0.019017
-0.502917 0 0.126463
--------
0.216708 0 0.0234811
-0.959199 1 1.91923
-0.948194 0 0.449536
0.747634 0 0.279478
-0.966531 0 0.467091
0.379895 0 0.0721601
-0.993403 0 0.493425
-0.950915 0 0.45212
-0.755577 0 0.285448
-0.999103 0 0.499103
--------
-0.0143341 0 0.000102734
-0.764892 1 1.55742
-0.222452 0 0.0247423
-0.674881 0 0.227732
-0.461805 0 0.106632
0.985493 0 0.485598
-0.98323 0 0.48337
0.226714 0 0.0256996
-0.668811 0 0.223654
-0.992552 0 0.49258
--------
-0.999832 0 0.499832
-0.442567 0 0.0979329
-0.917213 0 0.42064
0.528757 0 0.139792
0.96076 0 0.461529
-0.14711 0 0.0108207
0.399373 1 0.180376
0.105719 0 0.0055882
0.949733 0 0.450997
